总车型,车型1,款式年份,卖家报价(万),新车指导价(万),上牌时间,公里数,上牌城市,排放标准,变速箱1,服务费,厂商,级别,发动机,变速箱详情,车身结构,长宽高,轴承,行李容积,整备质量,排量,进气形式,气缸,最大马力,最大扭矩,燃料类型,燃油标号,供油方式,排放标准,驱动方式,助力类型,前悬挂类型,后悬挂类型,前制动类型,后制动类型,驻车制动类型,前轮胎规格,后轮胎规格,主副驾驶安全气囊,前后排侧气囊,前后排头部气囊,胎压检测,车内中控锁,儿童座椅接口,无钥匙启动系统,防抱死系统,车身稳定控制,电动天窗,全景天窗,电动吸合门,感应后备箱,感应雨刷,前后电动车窗,后视镜电动调节,后视镜电动调节,后视镜加热,多功能方向盘,定速巡航,空调,自动空调,GPS导航,倒车雷达,倒车影像系统,真皮座椅,前后排座椅加热,事故排查,泡水排查,火烧排查,机舱项,底盘悬架项,安全系统,外部配置,内部配置,灯光系统,高科技配置,随车工具,仪表台指示灯,发动机状态,变速箱及转向,缺陷项检测,漆面修复检测,钣金修复检测,外观件更换检测
金杯海狮X30L 2016款 1.5L财富版DLCG14,金杯海狮X30L,2016款,3.50,5.30,2016-12,2.8万公里,昭通,国五,手动,3500元（车价x4%，最低3500元） ,华晨鑫源,微面,1.5L 109马力 L4,5档手动变速箱(MT),客车,4495/1680/1990,2925,-,-,1.5,自然吸气,L4,109,-,汽油,92号,多点电喷,国五,,电动助力,麦弗逊式独立悬挂,钢板弹簧,通风盘式,鼓式,-,175/70 R14,175/70 R14,无/无,无/无,无/无,无,无,无,无,标配,无,无,无,无,无,无,无,标配/无,无,无,无,无,无,无,无,无,无,无,无/无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,0
五菱宏光 2014款 1.5L 基本型,五菱宏光,2014款,3.60,5.10,2014-05,4.6万公里,曲靖,国四,手动,3500元（车价x4%，最低3500元） ,上汽通用五菱,微面,1.5L 112马力 L4,5档手动变速箱(MT),客车,4305/1680/1750,2720,-,-,1.5,自然吸气,L4,112,146,汽油,92号,多点电喷,国四,,液压助力,麦弗逊式独立悬挂,钢板弹簧非独立悬架,盘式,鼓式,-,175/70 R14,175/70 R14,无/无,无/无,无/无,无,标配,无,无,无,无,无,无,无,无,无,无,标配/无,无,无,无,无,标配,无,无,无,加装,无,无/无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0
大众迈腾 2013款 1.8TSI 领先型,大众迈腾,2013款,14.00,23.90,2013-08,10.3万公里,涪陵区,国四,自动,5600元（车价x4%，最低3500元） ,一汽-大众,中型车,1.8T 160马力 L4,7档双离合变速箱(DCT),4门5座三厢车,4865/1820/1475,2812,565,1545,1.8,涡轮增压,L4,160,250,汽油,95号,直喷,国四,,电动助力,麦弗逊式独立悬架,多连杆独立悬架,通风盘式,盘式,-,215/55 R16,215/55 R16,正常/正常,正常/无,无/无,标配,标配,标配,无,标配,标配,标配,无,无,无,无,无,标配/标配,标配,标配,标配,无,标配,无,加装,标配,加装,标配,无/无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,4,1
丰田Sienna 2015款 3.5L 四驱L(进口),丰田Sienna,2015款,36.60,56.40,2014-07,5.79万公里,曲靖,国四,自动,14640元（车价x4%，最低3500元） ,丰田(进口),MPV,3.5L 269马力 V6,6档手自一体变速箱(AT),5门7座MPV,5085/1984/1796,3030,-,-,3.5,自然吸气,V6,269,332,汽油,95号,直喷,国四,全时四驱,机械液压助力,麦弗逊式独立悬架,扭力梁式非独立悬架,通风盘式,通风盘式,-,235/60 R17,235/60 R17,正常/正常,正常/无,正常/正常,标配,标配,标配,无,标配,标配,无,无,标配,无,无,标配,标配/标配,标配,无,标配,标配,标配,标配,标配,无,标配,无,无/无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
宝马7系 2009款 750Li领先型(进口),宝马7系,2009款,80.00,213.00,2010-02,12.34万公里,思茅,国四,自动,32000元（车价x4%，最低3500元） ,宝马(进口),大型车,4.4T 407马力 V8,6档手自一体变速箱(AT),4门5座三厢车,5212/1902/1478,3210,-,-,4.4,双涡轮增压,V8,407,600,汽油,95号,直喷,国四,-,机械液压助力,轻质双球节弹簧减振支柱前桥,整体铝质后桥,通风盘式,通风盘式,-,245/50 R18,245/50 R18,正常/正常,正常/无,正常/正常,标配,标配,标配,标配,标配,标配,标配,无,标配,无,标配,无,标配/标配,标配,标配,标配,标配,标配,标配,标配,标配,标配,标配,标配/标配,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,1
奥迪A8L 2013款 A8L 50 TFSI quattro豪华型(进口),奥迪A8L,2013款,65.00,133.30,2014-03,4.2万公里,楚雄彝族自治州,国四,自动,26000元（车价x4%，最低3500元） ,奥迪(进口),大型车,3.0T 333马力 V6,8档手自一体变速箱(AT),4门4座三厢车,5267/1949/1460,3122,510,2075,3.0,机械增压,V6,333,440,汽油,95号,混合喷射,国四,全时四驱,机械液压助力,双叉臂式独立悬架,双叉臂式独立悬架,通风盘式,通风盘式,-,235/55 R18,235/55 R18,正常/正常,正常/正常,正常/正常,标配,标配,标配,标配,标配,标配,标配,标配,标配,无,标配,无,标配/标配,标配,标配,标配,标配,标配,标配,标配,标配,标配,标配,标配/标配,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,0
福特福克斯 2012款 两厢 1.6L 手动舒适型,福特福克斯,2012款,7.16,13.00,2014-02,11万公里,玉溪,国四,手动,3500元（车价x4%，最低3500元） ,长安福特,紧凑型车,1.6L 125马力 L4,5档手动变速箱(MT),5门5座两厢车,4368/1823/1483,2648,356,1282,1.6,自然吸气,L4,125,159,汽油,92号,多点电喷,国四,,电动助力,麦弗逊式独立悬架,多连杆独立悬架,通风盘式,盘式,-,205/60 R16,205/60 R16,正常/正常,正常/无,无/无,无,标配,标配,无,标配,标配,无,无,无,无,无,标配,标配/标配,标配,无,无,无,标配,无,加装,无,加装,加装,无/无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,2,0
福特福克斯 2013款 两厢经典 1.8L 手动百万纪念版,福特福克斯,2013款,7.30,11.40,2014-01,4.3万公里,曲靖,国四,手动,3500元（车价x4%，最低3500元） ,长安福特,紧凑型车,1.8L 124马力 L4,5档手动变速箱(MT),5门5座两厢车,4342/1840/1500,2640,385-12,1321,1.8,自然吸气,L4,124,161,汽油,92号,多点电喷,国四,,电子液压助力,麦弗逊式独立悬架,多连杆独立悬架,通风盘式,盘式,-,195/65 R15,195/65 R15,正常/正常,无/无,无/无,无,标配,标配,无,标配,无,标配,无,无,无,无,标配,标配/标配,标配,无,无,无,标配,无,无,标配,无,无,无/无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0
别克英朗 2013款 GT 1.6L 自动舒适版,别克英朗,2013款,8.50,16.00,2014-03,4.3万公里,曲靖,国四,自动,3500元（车价x4%，最低3500元） ,上汽通用别克,紧凑型车,1.6L 121马力 L4,6档手自一体变速箱(AT),4门5座三厢车,4671/1815/1478,2685,455,1410,1.6,自然吸气,L4,121,150,汽油,92号,多点电喷,国四,,电动助力,麦弗逊式独立悬架,复合扭力梁式非独立悬架,通风盘式,盘式,-,205/60 R16,205/60 R16,正常/正常,正常/无,无/无,无,标配,标配,无,标配,无,标配,无,无,无,无,无,标配/标配,标配,无,无,无,标配,无,无,无,无,无,无/无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1
江铃驭胜S350 2013款 2.4T 自动两驱柴油豪华版5座,江铃驭胜S350,2013款,10.88,16.20,2015-04,3.4万公里,楚雄彝族自治州,国四,自动,4352元（车价x4%，最低3500元） ,江铃汽车,中型SUV,2.4T 140马力 L4,6档手自一体变速箱(AT),5门5座SUV,4775/1895/1862,2750,-,-,2.4,涡轮增压,L4,140,375,柴油,0号,直喷,国四,-,机械液压助力,双横臂螺旋弹簧独立悬架,五连杆式非独立悬架,通风盘式,盘式,-,265/65 R17,265/65 R17,正常/正常,无/无,无/无,无,标配,标配,标配,标配,标配,无,无,无,无,无,标配,标配/标配,标配,无,标配,标配,标配,无,无,标配,无,标配,无/无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
